Date,Open,High,Low,Close,Adj Close,Volume
2017-06-19,128.369995,128.369995,126.500000,126.989998,123.600677,2089800
2017-06-20,126.629997,127.080002,126.040001,126.040001,122.676048,2204300
2017-06-21,126.300003,126.400002,124.129997,124.779999,121.449661,1850600
2017-06-22,124.980003,125.269997,123.510002,123.860001,120.554214,1979900
2017-06-23,123.809998,124.470001,123.349998,123.599998,120.301163,7209800
2017-06-26,124.169998,124.519997,122.239998,123.349998,120.057831,1714400
2017-06-27,123.940002,124.269997,121.940002,122.000000,118.743858,1465800
2017-06-28,122.260002,123.669998,121.510002,123.470001,120.768578,2375100
2017-06-29,123.379997,123.410004,120.919998,121.910004,119.242714,1817800
2017-06-30,122.589996,124.339996,122.260002,123.589996,120.885948,2305600
2017-07-03,124.190002,125.500000,123.790001,124.949997,122.216187,1681900
2017-07-05,124.750000,125.870003,124.110001,125.599998,122.851974,2293000
2017-07-06,125.290001,125.470001,124.690002,125.089996,122.353127,1851900
2017-07-07,125.129997,126.820000,125.050003,126.639999,123.869202,1584600
2017-07-10,126.709999,128.500000,126.669998,128.139999,125.336403,3103800
2017-07-11,128.009995,128.800003,127.320000,128.059998,125.258148,1834800
2017-07-12,128.800003,129.000000,123.459999,123.480003,120.778358,4848200
2017-07-13,123.589996,125.050003,123.250000,124.419998,121.697784,2894800
2017-07-14,124.519997,125.779999,124.269997,125.470001,122.724815,1777000
2017-07-17,125.459999,126.019997,125.010002,125.879997,123.125839,1573400
2017-07-18,125.889999,126.440002,125.339996,126.089996,123.331245,1869400
2017-07-19,126.349998,126.739998,125.849998,126.309998,123.546440,1474300
2017-07-20,126.250000,126.720001,125.349998,125.599998,122.851974,2074100
2017-07-21,124.739998,126.099998,124.610001,125.750000,122.998688,1455800
2017-07-24,125.919998,126.650002,125.699997,126.550003,123.781197,1291200
2017-07-25,127.930000,128.750000,126.809998,127.900002,125.101654,2128000
2017-07-26,128.050003,128.179993,127.000000,127.820000,125.023399,1959300
2017-07-27,128.139999,128.529999,127.320000,128.440002,125.629837,1472900
2017-07-28,128.440002,129.020004,128.059998,128.910004,126.089561,1261200
2017-07-31,128.919998,129.539993,128.149994,128.279999,125.473328,1273300
2017-08-01,128.509995,129.460007,128.179993,129.020004,126.197151,1592200
2017-08-02,129.050003,129.410004,128.300003,128.979996,126.158020,1513000
2017-08-03,128.940002,129.660004,128.839996,129.509995,126.676437,1657600
